id,sku,name,quantity,base_price,has_discount,discount_price,short_description,long_description,created_at,updated_at,created_by,updated_by
1,786338,Great Plains Stickseed,33,$500.08,true,$217.62,"Stress fracture, right radius, subs for fx w routn heal","Stress fracture, right radius, subsequent encounter for fracture with routine healing",2/17/2022,6/4/2022,flewsy0,llemmens0
2,601427,Siltbush,14,$225.33,false,$474.66,"Displacement of prosthetic orbit of right eye, init encntr","Displacement of prosthetic orbit of right eye, initial encounter",11/28/2022,12/22/2023,kwinspar1,ejosipovitz1
3,649418,Sticky Brittlebush,1,$563.36,false,$193.78,"Nondisp transverse fracture of shaft of unsp fibula, sequela","Nondisplaced transverse fracture of shaft of unspecified fibula, sequela",12/10/2023,1/17/2023,aledamun2,lbarstowk2
4,798935,Karwinskia,8,$560.68,true,$109.79,Subluxation of metacarpophalangeal joint of right thumb,Subluxation of metacarpophalangeal joint of right thumb,6/18/2022,4/7/2023,ldorwood3,mwinham3
5,687480,Nodding Onion,66,$576.56,false,$373.62,Secondary malignant neoplasm of other urinary organs,Secondary malignant neoplasm of other urinary organs,8/29/2023,10/8/2022,eeveleigh4,cpactat4
6,435921,Spoonleaf Peperomia,8,$186.97,false,$380.62,"Trib rtnl vein occlusion, left eye, with macular edema","Tributary (branch) retinal vein occlusion, left eye, with macular edema",1/28/2023,8/15/2023,gmaseyk5,sleteve5
7,225399,Rush Peteria,84,$906.68,true,$276.77,Other assault by crashing of motor vehicle,Other assault by crashing of motor vehicle,12/3/2022,8/2/2022,oballinger6,jwyatt6
8,956622,Waianae Range Dubautia,81,$634.11,true,$124.71,"Labor and del comp by cord around neck, w comprsn, fetus 1","Labor and delivery complicated by cord around neck, with compression, fetus 1",7/22/2022,6/21/2022,gcanada7,ethornton7
9,489760,Lamb Succory,4,$766.96,true,$391.05,"Foreign body in ear, unspecified ear, subsequent encounter","Foreign body in ear, unspecified ear, subsequent encounter",1/3/2024,3/7/2022,itinklin8,rrauprich8
10,228219,Howell's Silverpuffs,5,$686.06,false,$164.97,"Collapsed vertebra, NEC, site unsp, subs for fx w routn heal","Collapsed vertebra, not elsewhere classified, site unspecified, subsequent encounter for fracture with routine healing",8/24/2023,1/14/2024,cphysic9,sdancer9
11,519321,Sierra Pea,51,$762.36,true,$365.69,"Calcium deposit in bursa, unspecified ankle and foot","Calcium deposit in bursa, unspecified ankle and foot",12/23/2023,5/1/2023,mdonaghiea,lbelchampa
12,181998,Southern Jewelflower,4,$471.19,true,$250.89,Intentional self-harm by unspecified sharp object,Intentional self-harm by unspecified sharp object,5/26/2022,3/20/2022,afellsb,bdagnallb
13,498533,Waihoi Beggarticks,88,$522.99,true,$291.32,"Inj blood vessels at abdomen, low back and pelvis level","Injury of blood vessels at abdomen, lower back and pelvis level",8/15/2023,7/15/2022,tamoric,sbunyardc
14,995097,Brazilian Wild Petunia,20,$355.35,true,$296.98,Other specified disorders of parathyroid gland,Other specified disorders of parathyroid gland,7/2/2022,8/2/2023,jpurcelld,cpetraccid
15,288858,Gulch Cyrtandra,87,$561.78,true,$144.72,Injury to rider of watercraft being puld beh oth watercraft,Injury to rider of (inflatable) watercraft being pulled behind other watercraft,10/19/2023,12/11/2022,hkibbeye,ritzchakie
16,419295,Tubular Bluestar,63,$217.96,false,$45.17,"Unsp fx unsp forearm, subs for opn fx type I/2 w malunion","Unspecified fracture of unspecified forearm, subsequent encounter for open fracture type I or II with malunion",9/27/2023,4/6/2022,pmcdonaldf,soreillyf
17,980598,Longtip Lacebark,95,$444.21,true,$479.47,"Unspecified injury of right eye and orbit, subs encntr","Unspecified injury of right eye and orbit, subsequent encounter",6/21/2022,12/20/2023,rhordellg,acramptong
18,927005,Yellow Triteleia,29,$472.41,true,$401.28,"Abrasion, right ankle","Abrasion, right ankle",4/7/2022,11/4/2023,mmatuszakh,jbasellih
19,422088,Spanish Lupine,43,$729.43,true,$473.86,Traum rupt of palmar ligmt of r little finger at MCP/IP jt,Traumatic rupture of palmar ligament of right little finger at metacarpophalangeal and interphalangeal joint,7/10/2023,6/19/2022,shayhoei,whartelli
20,476951,Nightshade,94,$239.74,false,$364.05,"Disp fx of r ulna styloid pro, subs for clos fx w malunion","Displaced fracture of right ulna styloid process, subsequent encounter for closed fracture with malunion",3/26/2023,2/26/2023,hgrimestonej,omapsonj
21,102985,Georgia False Indigo,7,$519.86,false,$282.25,"Lac w/o fb of unsp bk wl of thorax w/o penet thor cav, sqla","Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, sequela",7/19/2022,1/11/2024,celcoatk,dcausierk
22,250984,Laurel Amarillo,72,$777.17,false,$25.93,"Nondisp fx of body of scapula, unsp shoulder, init","Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for closed fracture",8/17/2023,2/22/2023,mhammerbergl,mhawtonl
23,480508,Oceanblue Phacelia,21,$371.80,true,$474.10,"Disp fx of base of nk of r femr, 7thM","Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with nonunion",10/5/2023,5/4/2023,ccovelym,cbalnavesm
24,113190,Polar Alkaligrass,34,$848.24,true,$369.21,"Maternal care for transverse and oblique lie, fetus 2","Maternal care for transverse and oblique lie, fetus 2",5/15/2023,7/10/2022,wguyvern,mchuggn
25,162549,Ferris' Sandwort,58,$45.29,false,$438.55,Displacement of umbrella device,Displacement of umbrella device,9/16/2022,4/17/2023,chuffo,jskeecho
26,689992,Gallant Soldier,7,$892.58,false,$427.38,Contact with raccoon,Contact with raccoon,3/24/2022,3/6/2023,akarlsenp,kemptagep
27,639234,Varicellaria Lichen,69,$887.09,false,$310.83,"Burn first deg mult sites of head, face, and neck, sequela","Burn of first degree of multiple sites of head, face, and neck, sequela",1/11/2023,2/27/2022,descudierq,sbastardq
28,437835,Rimrock Milkvetch,4,$619.05,false,$44.45,"Disp fx of medial cuneiform of right foot, init for opn fx","Displaced fracture of medial cuneiform of right foot, initial encounter for open fracture",5/12/2022,10/16/2022,shinzerr,qfarrarr
